fraude_real,score_modelo_fuerte,rank_modelo_fuerte,score_baseline,rank_baseline,fecha_hora_transaccion,categoria_comercio,monto,log_monto,ciudad,estado,genero,edad_cliente,distancia_km,comercio,ocupacion
0,0.0026320997,8839,0.04369414101290963,13325,2020-09-02 14:13:39,personal_care,40.11,3.716251400909787,Paulding,OH,M,84,62.65749484416021,fraud_Crooks and Sons,Secondary school teacher
0,0.00045702045,14174,0.08247560486565968,7161,2020-12-08 10:04:23,gas_transport,69.55,4.256321678298823,Matthews,MO,F,41,99.28340520063524,fraud_Huels-Nolan,Aeronautical engineer
0,0.004978132,6932,0.039020408163265304,14788,2020-11-12 13:15:51,kids_pets,2.59,1.2781522025001875,Milford,OH,F,24,56.64505538120528,fraud_Breitenberg-Hermiston,Hospital doctor
0,0.001447572,10678,0.029411764705882353,17951,2020-07-17 23:52:51,home,41.85,3.7577056450437887,Dallas,TX,F,45,127.80995833834926,fraud_Padberg-Sauer,"Designer, ceramics/pottery"
0,0.0008956609,12092,0.05634758995247793,9200,2020-07-06 07:28:29,misc_pos,28.12,3.3714252233284854,Hewitt,WI,M,28,103.51539831446364,fraud_McCullough LLC,Arts development officer
0,0.001763955,10062,0.030904625460499387,16512,2020-11-30 17:32:49,food_dining,65.6,4.198704577546343,Cazenovia,WI,M,36,81.19976851331583,fraud_Haag-Blanda,Occupational hygienist
1,0.9737907,1089,0.2554493878769782,1,2020-08-25 16:34:51,shopping_net,867.23,6.766456656518682,Keisterville,PA,F,74,100.76285868170643,fraud_Hills-Witting,Systems developer
0,0.0134641705,4656,0.0518783542039356,11262,2020-08-24 21:40:03,travel,5.72,1.9050881545350582,Luray,MO,M,54,134.04074940899872,fraud_Ankunding-Carroll,Town planner
0,4.3380983e-06,20973,0.2554493878769782,2,2020-07-05 14:25:48,shopping_net,3.25,1.4469189829363254,Joliet,IL,F,28,79.78320961799919,"fraud_Towne, Greenholt and Koepp","Teacher, secondary school"
0,1.4461947e-05,20678,0.12411660777385158,5322,2020-09-22 14:18:28,shopping_pos,2.36,1.2119409739751128,Newark Valley,NY,M,26,23.208650425686244,"fraud_Goyette, Howell and Collier",Further education lecturer
