cluster,cantidad_transacciones,porcentaje_total,tasa_fraude,monto_promedio,monto_mediano
0,6575,0.08766666666666667,0.02950570342205323,62.51545095057034,48.16
1,7263,0.09684,0.13616962687594658,136.90622057001238,55.87
2,5970,0.0796,0.039530988274706864,56.53242881072026,45.95
3,9415,0.12553333333333333,0.11725969198088157,123.93352628783855,52.42
4,11835,0.1578,0.093113645965357,114.90793747359527,51.62
5,7398,0.09864,0.11394971613949716,126.90545012165451,52.51
6,6903,0.09204,0.13342025206431987,132.71597421410982,53.82
7,2026,0.027013333333333334,0.10809476801579466,123.9275666337611,51.555
8,11501,0.15334666666666666,0.09616555082166768,115.33522041561605,51.04
9,6114,0.08152,0.12855740922473013,131.8466208701341,54.605000000000004
