comercio_id,comercio,n_transacciones,monto_total,fraudes,tasa_fraude,score_modelo_promedio,pagerank,pagerank_riesgo,rank_grafo_pagerank,rank_grafo_riesgo,rank_modelo
comercio_1192791818,fraud_Boyer PLC,75,18690.34,15,0.2,0.19373928,0.0017161652798706015,0.0017502200724853901,1,1,105
comercio_2548712848,fraud_Kilback LLC,72,9561.48,15,0.20833333333333334,0.1828335,0.001530522796690903,0.0015816932912436836,2,2,113
comercio_0333950504,fraud_Cormier LLC,65,8213.42,5,0.07692307692307693,0.08734704,0.0014142413026591377,0.0014298191684724859,3,3,209
comercio_8261572575,fraud_Miller-Hauck,55,9643.5,15,0.2727272727272727,0.25852042,0.0013647969976151952,0.0014198145090849879,5,4,48
comercio_1888818288,fraud_Lemke-Gutmann,55,20389.39,18,0.32727272727272727,0.3248136,0.0012671361571003797,0.001375531461781355,15,5,16
comercio_8395219513,fraud_Luettgen PLC,53,3157.89,3,0.05660377358490566,0.056319185,0.0014025529680103941,0.0013727769271412744,4,6,282
comercio_3811132389,fraud_Pacocha-O'Reilly,52,7359.95,8,0.15384615384615385,0.15314002,0.0013138345246259,0.0013476212229953776,7,7,143
comercio_9363337789,fraud_Kiehn Inc,59,9284.55,14,0.23728813559322035,0.23589545,0.0012887000890038425,0.0013453355628383506,12,8,62
comercio_5677787883,"fraud_Romaguera, Cruickshank and Greenholt",51,18952.22,18,0.35294117647058826,0.33948386,0.0012898439789179646,0.0013387866862116056,11,9,14
comercio_5855361068,fraud_Mraz-Herzog,43,2306.12,4,0.09302325581395349,0.09562397,0.0013340340115652737,0.0013324972145040738,6,10,196
comercio_4924007121,fraud_Schamberger-O'Keefe,50,7564.9,9,0.18,0.1825438,0.0012997445616096306,0.0013302461240153783,8,11,114
comercio_1648444838,fraud_Wolf Inc,58,8394.9,12,0.20689655172413793,0.18614788,0.0012829275767893948,0.0013213816055632148,14,12,110
comercio_2363911062,fraud_Stracke-Lemke,48,7909.66,11,0.22916666666666666,0.22287036,0.0012477813318579282,0.0012998114848060446,20,13,75
comercio_5757399038,fraud_Schaefer Ltd,44,2619.42,2,0.045454545454545456,0.026880331,0.0012950642520105189,0.001287138549154355,10,14,477
comercio_3258835399,fraud_Brekke and Sons,49,3091.15,2,0.04081632653061224,0.058219355,0.0012859924117503555,0.001282415115041635,13,15,271
comercio_4715580679,fraud_Deckow-O'Conner,51,6826.41,8,0.1568627450980392,0.14486489,0.001252342290522292,0.001281181233805183,19,16,153
comercio_3411897755,fraud_Dickinson Ltd,60,3354.64,1,0.016666666666666666,0.01650201,0.0012964287501481826,0.0012748259132865833,9,17,565
comercio_9938618573,fraud_Bailey-Morar,54,8147.4800000000005,8,0.14814814814814814,0.15217067,0.0012631899311305688,0.0012743156122783205,16,18,145
comercio_0158954224,fraud_Auer-Mosciski,48,7229.98,7,0.14583333333333334,0.15647213,0.0012526212958841472,0.0012739734636084223,18,19,138
comercio_4135203853,"fraud_Huel, Hammes and Witting",47,7827.75,13,0.2765957446808511,0.26555246,0.001224163689270015,0.001273143137228775,23,20,41
comercio_6318804238,"fraud_Schmeler, Bashirian and Price",48,12587.869999999999,11,0.22916666666666666,0.2259655,0.001208322823005878,0.001267662524933203,28,21,71
comercio_8408916699,fraud_Terry-Huel,48,15719.96,13,0.2708333333333333,0.27824637,0.0012040310234337748,0.0012637047922069464,29,22,33
comercio_3428262569,"fraud_Baumbach, Hodkiewicz and Walsh",47,11052.15,8,0.1702127659574468,0.1469527,0.0012473742738285214,0.0012587140981223353,21,23,149
comercio_0359308500,fraud_Hammes-Beatty,34,1732.02,0,0.0,0.013916604,0.0012528520371622085,0.001254872274974433,17,24,590
comercio_4769057019,fraud_O'Keefe-Hudson,56,8910.41,13,0.23214285714285715,0.2520496,0.0011767622316835248,0.0012496996690942487,40,25,52
