comercio_id,comercio,n_transacciones,monto_total,monto_promedio,fraudes,tasa_fraude,score_modelo_promedio,weighted_in_degree,pagerank,pagerank_riesgo,rank_grafo_pagerank,rank_grafo_riesgo,rank_popularidad,rank_monto,rank_modelo
comercio_0005320926,"fraud_Rippin, Kub and Mann",29,6604.41,227.73827586206897,6,0.20689655172413793,0.20842086,29.0,0.0009554486110964974,0.0009758129040559675,246,225,371,112,87
comercio_0012866316,fraud_Gulgowski LLC,44,2386.01,54.227500000000006,0,0.0,0.0032074014,44.0,0.0011476834914533984,0.001127648700300666,50,65,62,287,665
comercio_0013312390,"fraud_Turner, Ruecker and Parisian",31,4020.98,129.70903225806452,1,0.03225806451612903,0.04872869,31.0,0.0009699070415080594,0.000963296486366678,228,239,307,179,313
comercio_0015112241,fraud_Denesik and Sons,31,4505.31,145.3325806451613,2,0.06451612903225806,0.08788495,31.0,0.0008219147065386805,0.000832680493709189,437,410,308,174,207
comercio_0042032239,fraud_Cummings LLC,40,2414.21,60.35525,2,0.05,0.03994419,40.0,0.001019968397050951,0.001001786149897097,166,193,125,282,366
comercio_0046727171,fraud_Boyer-Haley,15,87.97,5.8646666666666665,0,0.0,0.016833466,15.0,0.0006255513312864752,0.0006201616229288157,638,639,626,685,563
comercio_0058083078,fraud_Torphy-Goyette,39,7744.9800000000005,198.5892307692308,7,0.1794871794871795,0.16474228,39.0,0.0011233374203482782,0.001140331213069075,63,59,136,82,129
comercio_0059907409,"fraud_Rowe, Batz and Goodwin",43,6554.5,152.43023255813952,9,0.20930232558139536,0.20998256,43.0,0.0011838270404073003,0.0012152887300085342,37,28,81,113,85
comercio_0066104500,"fraud_Lubowitz, Terry and Stracke",29,1074.83,37.06310344827586,0,0.0,0.015088133,29.0,0.0008586908378843062,0.0008432967473754665,380,396,372,583,580
comercio_0091711375,fraud_Greenholt Ltd,23,1497.59,65.11260869565217,0,0.0,0.0056439224,23.0,0.0007689454591976966,0.000754029276029191,513,528,519,479,650
comercio_0095118024,fraud_Marks Inc,41,2614.62,63.77121951219512,1,0.024390243902439025,0.022170017,41.0,0.0010859704958913867,0.0010668544661031104,92,116,112,259,516
comercio_0100662007,fraud_Reilly LLC,38,2406.92,63.34,0,0.0,0.003004307,38.0,0.0009992021147246415,0.0009665832799742639,193,237,152,285,667
comercio_0108369292,fraud_Beer-Jast,37,1945.75,52.58783783783784,3,0.08108108108108109,0.022945227,37.0,0.0009501361431833296,0.0009341681015385655,253,267,172,381,508
comercio_0112114344,"fraud_Kihn, Abernathy and Douglas",44,13620.35,309.5534090909091,12,0.2727272727272727,0.26379976,44.0,0.0011197376889150667,0.0011804527795655907,67,41,63,14,43
comercio_0121152316,fraud_Cummerata-Hilpert,33,2069.4900000000002,62.71181818181819,1,0.030303030303030304,0.03086317,33.0,0.0009203677248558006,0.0008972990313635056,282,319,261,357,439
comercio_0136551854,fraud_Schmidt and Sons,34,11298.92,332.3211764705882,9,0.2647058823529412,0.26509443,34.0,0.0009914892428935299,0.0010384989888018498,203,149,239,26,42
comercio_0149408610,fraud_Gaylord-Powlowski,37,3069.92,82.97081081081082,4,0.10810810810810811,0.10206439,37.0,0.0009734753916848431,0.0009903180475437918,226,207,173,214,189
comercio_0158954224,fraud_Auer-Mosciski,48,7229.98,150.62458333333333,7,0.14583333333333334,0.15647213,48.0,0.0012526212958841472,0.0012739734636084223,18,19,31,91,138
comercio_0180820055,fraud_Berge LLC,37,2200.86,59.4827027027027,2,0.05405405405405406,0.05488324,37.0,0.0009774927372208913,0.0009488863975139601,221,251,174,322,285
